mean	median	ci95_lb	ci95_up	sd	rsd
Values[r_TRP_Km].InitialValue	36.4007379950144	21.922129646888	1.45531393283028	99.7756702358994	32.8001784304189	0.901085533895256
Values[r_TRP_Vmax].InitialValue	483026.953125768	307864.006509059	77220.3384742297	1499652.77768592	413675.959224719	0.856424173739655
Values[Y].InitialValue	9.99300033758725e-05	9.99289861093244e-05	9.55178600980106e-05	0.000104528366199826	2.33943821488031e-06	0.0234107688967131
Values[r_sink_Ki].InitialValue	2.38423325181301	2.31004434301217	1.74950748629267	3.43975294341899	0.44113604867468	0.185022186205663
Values[r_sink_Km].InitialValue	143.949855963944	86.7351305125475	8.38141943177607	615.391172037193	154.009588979009	1.0698835920863
Values[r_sink_Vmax].InitialValue	4211513.73863747	2431715.23964289	237674.449144748	16925862.8012613	4576509.87518008	1.08666625807107
Values[r_ACK_Vmax].InitialValue	360150.866434465	344034.037265075	280999.666632541	547438.938165196	105312.089147476	0.292411039268287
Values[r_PTA_Vmax].InitialValue	2859109.50244353	906298.769182857	49521.2750880163	9920944.93455331	3608671.21558176	1.2621661438632
(glc_upt).Ki	38.1955686658098	38.0382183399559	30.8546672222616	46.9095411207775	4.08709220394248	0.107004355392697
(glc_upt).V	5515.76965742576	5486.45397771465	5271.10356802468	5917.63458023499	168.507382460193	0.0305501123008891
